StudentID,currentGrade,Block1,Block2,Block3,Block4,Block5,Block6,Block7,Block8
1289,10,NULL,"COMPOSITION 11 (('MCMPS11---', 1, 1))",NULL,NULL,"FOUNDATIONS OF MATHEMATICS 11 (('MFOM-11---', 0, 4))","LIFE SCIENCES 11 (('MLFSC11---', 4, 5))","EXPLORATIONS IN SOCIAL STUDIES (('MEPSS11---', 0, 6))",NULL
1290,10,NULL,"COMPOSITION 11 (('MCMPS11---', 0, 1))",NULL,"EXPLORATIONS IN SOCIAL STUDIES (('MEPSS11---', 0, 3))","FOUNDATIONS OF MATHEMATICS 11 (('MFOM-11---', 0, 4))",NULL,"LIFE SCIENCES 11 (('MLFSC11---', 0, 6))",NULL
1291,10,"CAREER LIFE EDUCATION 10 (('MCLE-10---', 1, 0))","COMPOSITION 11 (('MCMPS11---', 0, 1))","ENVIRONMENTAL SCIENCE 11 (('MEVSC11---', 0, 2))","LAW STUDIES 12 (('MLST-12---', 0, 3))","FOUNDATIONS OF MATHEMATICS 11 (('MFOM-11---', 0, 4))","INSTRUMENTAL MUSIC 11: GUITAR (('MIMG-11---', 0, 5))","CRIMINOLOGY 12 (('YLAW-2CX--', 0, 6))","AUTOMOTIVE TECHNOLOGY 11 (('MTAUT11---', 2, 7))"
1292,10,NULL,"COMPOSITION 11 (('MCMPS11---', 0, 1))",NULL,NULL,"MEDIA DESIGN 11 (('MMEDD11---', 0, 4))",NULL,"PRE-CALCULUS 11 (('MPREC11---', 5, 6))","CROSS TRAINING 11 (('YHRA-1AX--', 0, 7))"
1293,10,"CRIMINOLOGY 12 (('YLAW-2CX--', 2, 0))","CHEMISTRY 11 (('MCH--11---', 0, 1))","LITERARY STUDIES 11 Challenge (('MLTST11C--', 0, 2))","CONTEMPORARY INDIGENOUS STUDIE (('MINST12C--', 0, 3))","ECONOMICS 12 (('MEC--12---', 0, 4))","AP STATISTICS 12 (('ASTA-12---', 0, 5))","PRE-CALCULUS 11 (('MPREC11---', 5, 6))","PHYSICS 11 (('MPH--11---', 4, 7))"
1294,10,"COMPARATIVE CULTURES 12 (('MCMCL12---', 0, 0))","CHEMISTRY 11 (('MCH--11---', 0, 1))","COMPOSITION 11 (('MCMPS11---', 8, 2))","LIFE SCIENCES 11 (('MLFSC11---', 4, 3))","YOGA FOR MINDFULNESS 11 (('YPA--1CX--', 0, 4))","PHYSICS 11 (('MPH--11---', 5, 5))","PRE-CALCULUS 11 (('MPREC11---', 5, 6))","PSYCHOLOGY 11 (('YPSYC1AX--', 0, 7))"
1295,10,"CHEMISTRY 11 (('MCH--11---', 1, 0))","CAREER LIFE EDUCATION 10 Linea (('MCLE-10--L', 0, 1))","COMPOSITION 11 (('MCMPS11---', 0, 2))","LAW STUDIES 12 (('MLST-12---', 0, 3))","INSTRUMENTAL MUSIC 11: JAZZ BA (('MIMJB11--L', 0, 4))","PHYSICS 11 (('MPH--11---', 5, 5))","CRIMINOLOGY 12 (('YLAW-2CX--', 0, 6))","PRE-CALCULUS 11 (('MPREC11---', 5, 7))"
1296,10,"ACTIVE LIVING 11 Football (('MACLV11FB-', 0, 0))","CAREER LIFE EDUCATION 10 Linea (('MCLE-10--L', 0, 1))","COMPOSITION 11 (('MCMPS11---', 0, 2))",NULL,"FOUNDATIONS OF MATHEMATICS 11 (('MFOM-11---', 0, 4))","CONTEMPORARY INDIGENOUS STUDIE (('MINST12---', 0, 5))","LIFE SCIENCES 11 (('MLFSC11---', 0, 6))","LEARNING STRATEGIES 11 (('YED--1DX-L', 3, 7))"
1297,10,NULL,"COMPOSITION 11 (('MCMPS11---', 0, 1))","EXPLORATIONS IN SOCIAL STUDIES (('MEPSS11---', 0, 2))","CHEMISTRY 11 (('MCH--11---', 0, 3))","MEDIA DESIGN 11 (('MMEDD11---', 0, 4))","ENGLISH STUDIES 12 (('MENST12---', 0, 5))","PRE-CALCULUS 12 (('MPREC12---', 0, 6))",NULL
1298,10,"PRE-CALCULUS 12 (('MPREC12---', 2, 0))","CAREER LIFE EDUCATION 10 (('MCLE-10---', 4, 1))","LITERARY STUDIES 11 Challenge (('MLTST11C--', 0, 2))","LIFE SCIENCES 11 (('MLFSC11---', 4, 3))","CHEMISTRY 11 (('MCH--11---', 1, 4))","AP STATISTICS 12 (('ASTA-12---', 0, 5))","PHYSICS 11 (('MPH--11---', 0, 6))","CONTEMPORARY INDIGENOUS STUDIE (('MINST12C--', 0, 7))"
